"","Species","SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","AirBreathing","AirBreathingRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","VulnerabilityClimate","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"21","Tetrapturus angustirostris",3915,"Tetrapturus",43,"Tanaka, 1915","Shortbill spearfish","Teang_u0.jpg",NA,NA,NA,419,NA,4881,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,1830,86942,0,350,89423,NA,NA,NA,NA,90,45,230,"TL",NA,NA,9308,190,"TL",NA,NA,9308,52000,NA,43,"TEANG_U0",NA,NA,NA,171,"minor commercial","high","Reliable: based on ex-vessel price for this species","Taken as bycatch (Ref. 30573).",NA,NA,"hooks and lines","unspecified longlines (LL)",0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4887,"harmless",NA,"no special ability",NA,NA,1,"Oceanic and epipelagic, found above the thermocline (Ref. 9308).  Feeds on fishes, cephalopods and crustaceans.  Also caught as a by-catch of long lines with hooks intended for tuna.  Marketed frozen and prepared as fish cakes and sashimi in Japan (Ref. 9308).  Also prepared as sausages.",NA,0.563000023365021,0,1,1991-05-01,2291,2015-06-10,113,1995-07-03,NA
"22","Tetrapturus pfluegeri",220,"Tetrapturus",43,"Robins & de Sylva, 1963","Longbill spearfish","Tepfl_u1.jpg",NA,NA,NA,419,NA,4881,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,200,43,100,NA,4770,NA,NA,NA,NA,90,65.11,254,"FL",NA,NA,40637,165,"OT",NA,NA,43,58000,NA,40637,"TEPFL_U0",NA,NA,NA,171,"minor commercial","low","Reliable: based on ex-vessel price for this species","Bycatch on tuna longlines.",NA,NA,"hooks and lines","unspecified longlines (LL)",0,1,0,0,0,0,0,0,0,1,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,171,"harmless",NA,"no special ability",NA,NA,1,"Oceanic species, chiefly found in offshore waters, usually above the thermocline.  Feed mainly on pelagic fishes and squids (Ref. 4770).  Females probably spawn once a year (Ref. 4770).  Marketed frozen.",NA,0.563000023365021,0,2,1990-10-17,949,2008-09-10,10,1994-03-14,NA
"23","Thunnus alalunga",142,"Thunnus",168,"(Bonnaterre, 1788)","Albacore","Thala_u4.jpg",NA,NA,NA,416,"Scombrinae",8961,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,600,168,NA,NA,NA,9,72462,NA,NA,71.11,42.21,140,"FL",NA,NA,3669,100,"FL",NA,NA,9684,60320,NA,40637,"THALA_U0",NA,NA,NA,4931,"highly commercial","high","Reliable: based on ex-vessel price for this species","Bycatch of swordfish fishery.","from 100,000 to 500,000","By Japan(61), Spain(27), Korea Rep.(77)","seines","purse seines (PS)",0,0,0,0,0,0,0,0,1,1,"never/rarely"," ",NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"An epipelagic and mesopelagic, oceanic species, abundant in surface waters of 15.6° to 19.4°C; deeper swimming, large albacore are found in waters of 13.5° to 25.2°C; temperatures as low as 9.5°C may be tolerated for short periods (Ref. 168).  Known to concentrate along thermal discontinuities (Ref. 168).  Form mixed schools with skipjack tuna (<i>Katsuwonus pelamis</i>), yellowfin tuna (<i>Thunnus albacares</i>) and bluefin tuna (<i>T. maccoyii</i>), schools may be associated with floating objects, including sargassum weeds (Ref. 168).  Feed on fishes, crustaceans and squids.  Eggs and larvae are pelagic (Ref. 6769).  Sexual maturity reached at 90 cm (Ref. 36731).  Highly appreciated and marketed fresh, smoked, deep frozen or canned.  Eaten steamed, broiled, fried and microwaved (Ref. 9987).  Also Ref. 1762, 1798, 1804.
Angling: Largely caught offshore, where the waters are mild and blue.  Albacore favor those areas where cooler water interfaces with warmer water.  They are caught with live of dead baitfish such as mullet, sauries, squid, herring, anchovies, sardines, and other small fish.  Albacore strike hard and make powerful runs (Ref. 84357).",NA,0.503899991512299,0,2,1990-10-17,2,2024-01-15,2,1999-08-19,NA
"24","Thunnus albacares",143,"Thunnus",168,"(Bonnaterre, 1788)","Yellowfin tuna","Thalb_u0.jpg",NA,NA,NA,416,"Scombrinae",8961,NA,"fusiform / normal","R",NA,NA,0,0,1,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,1,1602,NA,1,250,6390,9,72462,NA,NA,45.6,41.67,239,"FL",NA,NA,40637,150,"FL",NA,NA,168,2e+05,NA,26550,"THALB_U2",NA,NA,NA,4931,"highly commercial","high","Reliable: based on ex-vessel price for this species",NA,"more than 500,000","1011764 t in 1990; By Mexico,USA(77), Japan(7","seines","purse seines (PS)",1,1,0,1,0,0,0,0,1,1,"experimental"," ",93983,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"An oceanic species occurring above and below the thermoclines.  Pelagic in open water , but rarely seen near reefs (Ref. 48637).  They school primarily by size, either in monospecific or multi-species groups.  Larger fish frequently school with porpoises, also associated with floating debris and other objects.  Feed on fishes, crustaceans and squids.  It is sensitive to low concentrations of oxygen and therefore is not usually caught below 250 m in the tropics (Ref. 28952, 30329).  Peak spawning occurs during the summer, in batches (Ref. 9684, 51846).  Eggs and larvae are pelagic (Ref. 6769).  Encircling nets are employed to catch schools near the surface (Ref. 9340). Caught mainly with longlines and purse seines. Marketed mainly fresh, frozen, canned (Ref. 9684), but also smoked (Ref. 9987).  Highly valued for sashimi (Ref. 26938).",NA,0.503899991512299,0,2,1990-10-17,2,2024-01-15,2,1999-08-24,NA
"25","Thunnus atlanticus",144,"Thunnus",168,"(Lesson, 1831)","Blackfin tuna","Thatl_u4.jpg",NA,NA,NA,416,"Scombrinae",8961,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,50,NA,NA,NA,NA,NA,NA,NA,NA,42.06,75,107.949996948242,"FL",NA,NA,40637,72,"FL",NA,NA,168,20630,NA,40637,"THATL_U0",NA,NA,NA,4931,"commercial","medium","Reliable: based on ex-vessel price for this species",NA,"from 1,000 to 10,000","By most countries in area 31, Brazil(41)","hooks and lines","trolling lines (LTL)",1,0,0,0,0,0,0,0,1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Found in oceanic waters, sometimes not far from the coast (Ref. 13628).  Forms large mixed schools with the skipjack tuna.  Its spawning grounds are located well offshore.  Preys on surface and deep-sea fishes, squids, amphipods, shrimps, crabs and stomatopods and decapod larvae.  The largest fishery for blackfin tuna operates off the southeastern coast of Cuba and uses live-bait and pole.  Utilized fresh, dried or salted, canned and frozen (Ref. 9987).",NA,0.503899991512299,0,2,1990-10-17,949,2008-09-10,18,1994-03-25,NA
"26","Thunnus maccoyii",145,"Thunnus",168,"(Castelnau, 1872)","Southern bluefin tuna","Thmac_u7.jpg",NA,NA,NA,416,"Scombrinae",8961,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,2743,57178,NA,NA,NA,20,168,NA,NA,66.9,37.5,245,"FL",NA,NA,5203,160,"FL",NA,NA,9684,260000,NA,5203,"THMAC_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species","Consumed as food.","from 10,000 to 50,000","By Australia (57) and Japan(47,51,57,81)","hooks and lines","unspecified longlines (LL)",1,0,0,0,0,1,0,0,0,0,"commercial",NA,12108,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"By maturity, most southern bluefin tuna lead an oceanic, pelagic existence (Ref. 6390).  Spawning fish and larvae are encountered in waters with surface temperatures between 20° and 30°C.  An opportunistic feeder, preying on a wide variety of fishes, crustaceans, cephalopods, salps, and other marine animals.  Mostly canned (Ref. 9684).  A specialized fishery for sashimi-quality has been developed recently by New Zealand fishers.  In Japan, it is highly prized for the sashimi markets.",NA,0.503899991512299,0,2,1990-10-17,949,2024-05-08,2,1999-08-23,NA
"27","Thunnus obesus",146,"Thunnus",168,"(Lowe, 1839)","Bigeye tuna","Thobe_u1.jpg",NA,NA,NA,416,"Scombrinae",8961,NA,"fusiform / normal","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,1500,117020,0,500,117020,11,30326,NA,NA,55.53,47.07,250,"TL",NA,NA,27000,180,"FL",NA,NA,168,210000,NA,9987,"THOBE_U0",NA,NA,NA,4931,"highly commercial","very high","Reliable: based on ex-vessel price for this species","Bycatch of swordfish fishery.","from 100,000 to 500,000","Mostly by Japan, Korea Rep. in most areas","hooks and lines","unspecified longlines (LL)",1,1,0,1,0,0,0,0,1,1,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Occur in areas where water temperatures range from 13°-29°C, but the optimum is between 17° and 22°C.  Variation in occurrence is closely related to seasonal and climatic changes in surface temperature and thermocline.  Juveniles and small adults school at the surface in mono-species groups or mixed with other tunas, may be associated with floating objects.  Adults stay in deeper waters (Ref. 5377).  Eggs and larvae are pelagic (Ref. 6390).  Feed on a wide variety of fishes, cephalopods and crustaceans during the day and at night (Ref. 9340).  Meat is highly prized and processed into sashimi in Japan.  Marketed mainly canned or frozen (Ref. 9684), but  also sold  fresh (Ref. 9340).",NA,0.503899991512299,0,2,1990-10-17,949,2018-01-31,2,1999-08-19,NA
"28","Thunnus orientalis",14290,"Thunnus",9340,"(Temminck & Schlegel, 1844)","Pacific bluefin tuna","Thori_u1.gif",NA,NA,NA,416,"Scombrinae",8961,NA,"fusiform / normal","R",NA,NA,0,0,1,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,1,550,58302,NA,NA,NA,15,83312,NA,NA,76.13,37.5,300,"FL",NA,NA,9340,200,"FL",NA,NA,9340,450000,NA,47525,"THTHYOU1",NA,NA,NA,9340,"highly commercial","very high","Reliable: based on ex-vessel price for this species",NA,NA,NA,"various gears",NA,0,1,0,0,0,0,0,0,1,1,"commercial",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,6885,"harmless",NA,"no special ability",NA,NA,1,"Epipelagic, usually oceanic, but seasonally coming close to shore (Ref. 168).  Tolerates  ample temperature intervals (Ref. 168).  Forms schools by size, sometimes with other scombrids (Ref. 168).  Migrates between June and September in a northward direction along the coast of Baja California, Mexico and California (Ref. 168).  A voracious predator that feeds on a wide variety of small schooling fishes and squids, also on crabs crabs and to a lesser degree on sessile organisms (Ref. 168).  Marketed fresh and frozen.",NA,0.503899991512299,0,113,1995-07-27,2,2024-05-23,NA,NA,NA
"29","Thunnus thynnus",147,"Thunnus",33246,"(Linnaeus, 1758)","Atlantic bluefin tuna","Ththy_ug.jpg",NA,NA,NA,416,"Scombrinae",8961,NA,"fusiform / normal","R",NA,NA,0,0,1,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,985,55291,0,100,NA,32,5810,NA,NA,82.35,37.5,458,"TL",NA,NA,26340,200,"FL",NA,NA,168,684000,NA,26340,"THTHY_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species","Eaten raw, cooked or dried.","from 10,000 to 50,000","USA (77)","seines","purse seines (PS)",1,1,0,1,0,0,0,0,1,1,"commercial"," ",12108,"never/rarely",NA,"never/rarely",NA,NA,1,4699,"harmless",NA,"no special ability",NA,NA,1,"Oceanic but seasonally coming close to shore. They school by size, sometimes together with albacore, yellowfin, bigeye, skipjack etc. Visual predators (Ref. 88866) preying on small schooling fishes (anchovies, sauries, hakes) or on squids and red crabs. Live up to 40 years in the western Atlantic (Ref. 88822).  Weight up to 900 kg (Ref. 88823). Eggs and larvae are pelagic (Ref. 6769). Juvenile growth is rapid (about 30 cm / year) but slower than in other tuna 
and billfish species (Ref. 88867). Adult growth is considerably slower, with about 10 years needed to reach two thirds of maximum length.  Become rare because of massive overfishing (Ref. 35388).",NA,0.503899991512299,0,2,1990-10-17,2,2024-01-15,18,1994-03-28,NA
"30","Xiphias gladius",226,"Xiphias",43,"Linnaeus, 1758","Swordfish","Xigla_u5.jpg",NA,NA,NA,417,NA,2618,NA,"elongated","R",NA,NA,0,0,0,1,"pelagic-oceanic","WaterAssumed",NA,"oceanodromous",51243,0,2878,116993,0,550,54934,NA,NA,NA,NA,71.62,42.86,455,"FL",NA,NA,40637,300,"TL",NA,NA,9354,650000,NA,4689,"XIGLA_U1",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species",NA,"from 50,000 to 100,000","Mostly by Japan (61) and Spain (27)","hooks and lines","unspecified longlines (LL)",0,1,0,0,1,1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,1,4699,NA,NA,"no special ability",NA,NA,1,"Oceanic but sometimes found in coastal waters (Ref. 9354).  Generally above the thermocline  (Ref. 9354), preferring temperatures of 18°C to 22°C (Ref. 9987).  Larvae are frequently encountered at temperatures above 24 °C (Ref. 9702).  Migrate toward temperate or cold waters in the summer and back to warm waters in the fall.  Adults are opportunistic feeders, known to forage for their food from the surface to the bottom over a wide depth range (Ref. 9702).  Feed mainly on fishes (Atlantic mackerel, barracudinas, silver hake, redfish, herring and lanternfishes (Ref. 5951); also on crustaceans and squids (Ref. 9354).  They use their sword to kill their prey (Ref. 9354).  Large individuals may accumulate large percentages of mercury in its flesh (Ref. 9354).  Are batch spawners (Ref. 51846).  Spawning takes place in Atlantic during spring in southern Sargasso Sea.  Migrate to cooler waters to feed (Ref. 4689).  Females grow fastest.  Determination of age is difficult since the otoliths are very small and scales are missing in adults.  Year rings have been successfully counted on cross sections of the fin rays (Ref. 35388).  Pelagic eggs measure 1.6-1.8mm and the newly hatched larvae is 4 mm long.  Sword is well developed at a length of 10mm and young live pelagically in the upper water layers where they quickly develop into very voracious predators (Ref. 35388).  Mt DNA restriction analysis reveal that genetic differentiation occurs between populations inhabiting the Mediterranean Sea and the tropical Atlantic ocean, indicating little genetic exchange occurring between the two (Ref. 12784).  Good food fish, marketed fresh or frozen, and can be made into sashimi, teriyaki or fillets (Ref. 9354).",NA,1.5,0,5,1990-10-17,949,2018-01-29,2,1999-08-24,NA
